District_name,Reg_users,Pincodes,Reg_users_pin,Quater,Year,State
prakasam,1151232,530016,154509,2,2021,andhra-pradesh
prakasam,1151232,518002,149368,2,2021,andhra-pradesh
prakasam,1151232,516001,148851,2,2021,andhra-pradesh
prakasam,1151232,516360,134622,2,2021,andhra-pradesh
prakasam,1151232,524002,126459,2,2021,andhra-pradesh
prakasam,1151232,530026,120973,2,2021,andhra-pradesh
prakasam,1151232,520010,119561,2,2021,andhra-pradesh
prakasam,1239147,517501,216777,3,2021,andhra-pradesh
prakasam,1239147,517507,194860,3,2021,andhra-pradesh
prakasam,1239147,515001,168654,3,2021,andhra-pradesh
prakasam,1239147,530016,164812,3,2021,andhra-pradesh
prakasam,1239147,518002,159802,3,2021,andhra-pradesh
prakasam,1239147,516001,158891,3,2021,andhra-pradesh
prakasam,1239147,516360,144068,3,2021,andhra-pradesh
prakasam,1239147,524002,135136,3,2021,andhra-pradesh
prakasam,1239147,530026,129270,3,2021,andhra-pradesh
prakasam,1239147,520010,127618,3,2021,andhra-pradesh
prakasam,1325728,517501,230688,4,2021,andhra-pradesh
prakasam,1325728,517507,207174,4,2021,andhra-pradesh
prakasam,1325728,515001,179763,4,2021,andhra-pradesh
prakasam,1325728,530016,175300,4,2021,andhra-pradesh
prakasam,1325728,518002,170267,4,2021,andhra-pradesh
prakasam,1325728,516001,169158,4,2021,andhra-pradesh
prakasam,1325728,516360,153381,4,2021,andhra-pradesh
prakasam,1325728,524002,143764,4,2021,andhra-pradesh
prakasam,1325728,530026,137812,4,2021,andhra-pradesh
prakasam,1325728,520010,135719,4,2021,andhra-pradesh
prakasam,1408929,517501,243791,1,2022,andhra-pradesh
prakasam,1408929,517507,218905,1,2022,andhra-pradesh
prakasam,1408929,515001,190203,1,2022,andhra-pradesh
prakasam,1408929,530016,185094,1,2022,andhra-pradesh
prakasam,1408929,518002,180102,1,2022,andhra-pradesh
prakasam,1408929,516001,179007,1,2022,andhra-pradesh
prakasam,1408929,516360,162263,1,2022,andhra-pradesh
prakasam,1408929,524002,151939,1,2022,andhra-pradesh
prakasam,1408929,530026,145842,1,2022,andhra-pradesh
prakasam,1408929,520010,143308,1,2022,andhra-pradesh
prakasam,1487589,517501,256290,2,2022,andhra-pradesh
prakasam,1487589,517507,229983,2,2022,andhra-pradesh
prakasam,1487589,515001,200266,2,2022,andhra-pradesh
prakasam,1487589,530016,194513,2,2022,andhra-pradesh
prakasam,1487589,518002,189505,2,2022,andhra-pradesh
prakasam,1487589,516001,188295,2,2022,andhra-pradesh
prakasam,1487589,516360,170855,2,2022,andhra-pradesh
prakasam,1487589,524002,159834,2,2022,andhra-pradesh
prakasam,1487589,530026,153586,2,2022,andhra-pradesh
prakasam,1487589,520010,150546,2,2022,andhra-pradesh
prakasam,1567520,517501,269370,3,2022,andhra-pradesh
prakasam,1567520,517507,241720,3,2022,andhra-pradesh
prakasam,1567520,515001,210661,3,2022,andhra-pradesh
prakasam,1567520,530016,204230,3,2022,andhra-pradesh
prakasam,1567520,518002,199354,3,2022,andhra-pradesh
prakasam,1567520,516001,197910,3,2022,andhra-pradesh
prakasam,1567520,516360,179806,3,2022,andhra-pradesh
prakasam,1567520,524002,168015,3,2022,andhra-pradesh
prakasam,1567520,530026,161715,3,2022,andhra-pradesh
prakasam,1567520,520010,158071,3,2022,andhra-pradesh
prakasam,1642503,517501,282766,4,2022,andhra-pradesh
prakasam,1642503,517507,253314,4,2022,andhra-pradesh
prakasam,1642503,515001,221328,4,2022,andhra-pradesh
prakasam,1642503,530016,214155,4,2022,andhra-pradesh
prakasam,1642503,518002,209376,4,2022,andhra-pradesh
prakasam,1642503,516001,207725,4,2022,andhra-pradesh
prakasam,1642503,516360,188768,4,2022,andhra-pradesh
prakasam,1642503,524002,176415,4,2022,andhra-pradesh
prakasam,1642503,530026,169957,4,2022,andhra-pradesh
prakasam,1642503,520010,165734,4,2022,andhra-pradesh
upper subansiri,572,791110,2316,1,2018,arunachal-pradesh
upper subansiri,572,791111,2203,1,2018,arunachal-pradesh
upper subansiri,572,791113,1475,1,2018,arunachal-pradesh
upper subansiri,572,791102,1471,1,2018,arunachal-pradesh
upper subansiri,572,790104,1139,1,2018,arunachal-pradesh
upper subansiri,572,791001,969,1,2018,arunachal-pradesh
upper subansiri,572,791109,857,1,2018,arunachal-pradesh
upper subansiri,572,792103,829,1,2018,arunachal-pradesh
upper subansiri,572,792001,828,1,2018,arunachal-pradesh
upper subansiri,572,790116,766,1,2018,arunachal-pradesh
upper subansiri,883,791110,3488,2,2018,arunachal-pradesh
upper subansiri,883,791111,3272,2,2018,arunachal-pradesh
upper subansiri,883,791113,2219,2,2018,arunachal-pradesh
upper subansiri,883,791102,2212,2,2018,arunachal-pradesh
upper subansiri,883,790104,1698,2,2018,arunachal-pradesh
upper subansiri,883,792103,1457,2,2018,arunachal-pradesh
upper subansiri,883,791001,1421,2,2018,arunachal-pradesh
upper subansiri,883,792001,1315,2,2018,arunachal-pradesh
upper subansiri,883,791109,1231,2,2018,arunachal-pradesh
upper subansiri,883,790116,1213,2,2018,arunachal-pradesh
tirap,1226,791110,4872,3,2018,arunachal-pradesh
tirap,1226,791111,4610,3,2018,arunachal-pradesh
tirap,1226,791113,3178,3,2018,arunachal-pradesh
tirap,1226,791102,3077,3,2018,arunachal-pradesh
tirap,1226,790104,2328,3,2018,arunachal-pradesh
tirap,1226,792103,2067,3,2018,arunachal-pradesh
tirap,1226,791001,1907,3,2018,arunachal-pradesh
tirap,1226,792001,1819,3,2018,arunachal-pradesh
tirap,1226,790116,1623,3,2018,arunachal-pradesh
tirap,1226,791109,1612,3,2018,arunachal-pradesh
tirap,1684,791110,6599,4,2018,arunachal-pradesh
tirap,1684,791111,6225,4,2018,arunachal-pradesh
tirap,1684,791113,4115,4,2018,arunachal-pradesh
tirap,1684,791102,4109,4,2018,arunachal-pradesh
tirap,1684,790104,3034,4,2018,arunachal-pradesh
tirap,1684,792103,2741,4,2018,arunachal-pradesh
tirap,1684,792001,2577,4,2018,arunachal-pradesh
tirap,1684,791001,2444,4,2018,arunachal-pradesh
tirap,1684,790116,2206,4,2018,arunachal-pradesh
tirap,1684,791109,2071,4,2018,arunachal-pradesh
tirap,2082,791110,8094,1,2019,arunachal-pradesh
tirap,2082,791111,7673,1,2019,arunachal-pradesh
tirap,2082,791113,5140,1,2019,arunachal-pradesh
tirap,2082,791102,5030,1,2019,arunachal-pradesh
tirap,2082,790104,3751,1,2019,arunachal-pradesh
tirap,2082,792103,3477,1,2019,arunachal-pradesh
tirap,2082,792001,3160,1,2019,arunachal-pradesh
tirap,2082,791001,3103,1,2019,arunachal-pradesh
tirap,2082,790116,2798,1,2019,arunachal-pradesh
tirap,2082,791109,2519,1,2019,arunachal-pradesh
tirap,2697,791110,10055,2,2019,arunachal-pradesh
tirap,2697,791111,9597,2,2019,arunachal-pradesh
tirap,2697,791113,6418,2,2019,arunachal-pradesh
tirap,2697,791102,6283,2,2019,arunachal-pradesh
tirap,2697,790104,4437,2,2019,arunachal-pradesh
tirap,2697,792103,4369,2,2019,arunachal-pradesh
tirap,2697,791001,3960,2,2019,arunachal-pradesh
